"","InfectionStatus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Infected","Chao1","Duodenum","Jejunum",5,5,0,0.008,0.16,"ns",1091.04044,1,2
"2","Infected","Chao1","Duodenum","Ileum",5,3,2,0.143,1,"ns",1169.96537333333,1,3
"3","Infected","Chao1","Duodenum","Cecum",5,5,0,0.008,0.16,"ns",1248.89030666667,1,4
"4","Infected","Chao1","Duodenum","Colon",5,5,0,0.008,0.16,"ns",1327.81524,1,5
"5","Infected","Chao1","Jejunum","Ileum",5,3,15,0.036,0.72,"ns",1406.74017333333,2,3
"6","Infected","Chao1","Jejunum","Cecum",5,5,14,0.841,1,"ns",1485.66510666667,2,4
"7","Infected","Chao1","Jejunum","Colon",5,5,14,0.841,1,"ns",1564.59004,2,5
"8","Infected","Chao1","Ileum","Cecum",3,5,0,0.036,0.72,"ns",1643.51497333333,3,4
"9","Infected","Chao1","Ileum","Colon",3,5,0,0.036,0.72,"ns",1722.43990666667,3,5
"10","Infected","Chao1","Cecum","Colon",5,5,12,1,1,"ns",1801.36484,4,5
"11","Non_infected","Chao1","Duodenum","Jejunum",4,4,6,0.686,1,"ns",1035.91744,1,2
"12","Non_infected","Chao1","Duodenum","Ileum",4,3,6,1,1,"ns",1114.84237333333,1,3
"13","Non_infected","Chao1","Duodenum","Cecum",4,4,0,0.029,0.58,"ns",1193.76730666667,1,4
"14","Non_infected","Chao1","Duodenum","Colon",4,4,4,0.343,1,"ns",1272.69224,1,5
"15","Non_infected","Chao1","Jejunum","Ileum",4,3,5,0.857,1,"ns",1351.61717333333,2,3
"16","Non_infected","Chao1","Jejunum","Cecum",4,4,0,0.029,0.58,"ns",1430.54210666667,2,4
"17","Non_infected","Chao1","Jejunum","Colon",4,4,3,0.2,1,"ns",1509.46704,2,5
"18","Non_infected","Chao1","Ileum","Cecum",3,4,0,0.057,1,"ns",1588.39197333333,3,4
"19","Non_infected","Chao1","Ileum","Colon",3,4,3,0.4,1,"ns",1667.31690666667,3,5
"20","Non_infected","Chao1","Cecum","Colon",4,4,12,0.343,1,"ns",1746.24184,4,5
