"","InfectionStatus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Infected","distances","Duodenum","Jejunum",5,5,7,0.31,1,"ns",0.62356,1,2
"2","Infected","distances","Duodenum","Ileum",5,3,6,0.786,1,"ns",0.66196,1,3
"3","Infected","distances","Duodenum","Cecum",5,5,18,0.31,1,"ns",0.70036,1,4
"4","Infected","distances","Duodenum","Colon",5,5,15,0.69,1,"ns",0.73876,1,5
"5","Infected","distances","Jejunum","Ileum",5,3,11,0.393,1,"ns",0.77716,2,3
"6","Infected","distances","Jejunum","Cecum",5,5,23,0.032,0.64,"ns",0.81556,2,4
"7","Infected","distances","Jejunum","Colon",5,5,23,0.032,0.64,"ns",0.85396,2,5
"8","Infected","distances","Ileum","Cecum",3,5,11,0.393,1,"ns",0.89236,3,4
"9","Infected","distances","Ileum","Colon",3,5,11,0.393,1,"ns",0.93076,3,5
"10","Infected","distances","Cecum","Colon",5,5,10,0.69,1,"ns",0.96916,4,5
"11","Non_infected","distances","Duodenum","Jejunum",4,4,13,0.2,1,"ns",0.67356,1,2
"12","Non_infected","distances","Duodenum","Ileum",4,3,4,0.629,1,"ns",0.71196,1,3
"13","Non_infected","distances","Duodenum","Cecum",4,4,16,0.029,0.58,"ns",0.75036,1,4
"14","Non_infected","distances","Duodenum","Colon",4,4,10,0.686,1,"ns",0.78876,1,5
"15","Non_infected","distances","Jejunum","Ileum",4,3,3,0.4,1,"ns",0.82716,2,3
"16","Non_infected","distances","Jejunum","Cecum",4,4,13,0.2,1,"ns",0.86556,2,4
"17","Non_infected","distances","Jejunum","Colon",4,4,7,0.886,1,"ns",0.90396,2,5
"18","Non_infected","distances","Ileum","Cecum",3,4,12,0.057,1,"ns",0.94236,3,4
"19","Non_infected","distances","Ileum","Colon",3,4,8,0.629,1,"ns",0.98076,3,5
"20","Non_infected","distances","Cecum","Colon",4,4,0,0.029,0.58,"ns",1.01916,4,5
