"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Chao1","Duodenum","Jejunum",9,9,6,0.001,0.015,"*",1074.84428,1,2
"2","Chao1","Duodenum","Ileum",9,6,17,0.272,1,"ns",1133.59743714286,1,3
"3","Chao1","Duodenum","Cecum",9,9,0,4.11e-05,0.0006165,"***",1192.35059428571,1,4
"4","Chao1","Duodenum","Colon",9,9,4,0.000494,0.00741,"**",1251.10375142857,1,5
"5","Chao1","Duodenum","Ascaris",9,4,11,0.33,1,"ns",1309.85690857143,1,6
"6","Chao1","Jejunum","Ileum",9,6,44,0.05,0.75,"ns",1368.61006571429,2,3
"7","Chao1","Jejunum","Cecum",9,9,23,0.136,1,"ns",1427.36322285714,2,4
"8","Chao1","Jejunum","Colon",9,9,33,0.546,1,"ns",1486.11638,2,5
"9","Chao1","Jejunum","Ascaris",9,4,17,0.94,1,"ns",1544.86953714286,2,6
"10","Chao1","Ileum","Cecum",6,9,0,4e-04,0.006,"**",1603.62269428571,3,4
"11","Chao1","Ileum","Colon",6,9,4,0.005,0.075,"ns",1662.37585142857,3,5
"12","Chao1","Ileum","Ascaris",6,4,8,0.476,1,"ns",1721.12900857143,3,6
"13","Chao1","Cecum","Colon",9,9,51,0.387,1,"ns",1779.88216571429,4,5
"14","Chao1","Cecum","Ascaris",9,4,21,0.71,1,"ns",1838.63532285714,4,6
"15","Chao1","Colon","Ascaris",9,4,18,1,1,"ns",1897.38848,5,6
