"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","distances","Duodenum","Jejunum",9,9,39,0.931,1,"ns",0.66528,1,2
"2","distances","Duodenum","Ileum",9,6,23,0.689,1,"ns",0.693437142857143,1,3
"3","distances","Duodenum","Cecum",9,9,74,0.002,0.03,"*",0.721594285714286,1,4
"4","distances","Duodenum","Colon",9,9,53,0.297,1,"ns",0.749751428571429,1,5
"5","distances","Duodenum","Ascaris",9,4,26,0.26,1,"ns",0.777908571428571,1,6
"6","distances","Jejunum","Ileum",9,6,27,1,1,"ns",0.806065714285714,2,3
"7","distances","Jejunum","Cecum",9,9,70,0.008,0.12,"ns",0.834222857142857,2,4
"8","distances","Jejunum","Colon",9,9,56,0.19,1,"ns",0.86238,2,5
"9","distances","Jejunum","Ascaris",9,4,25,0.33,1,"ns",0.890537142857143,2,6
"10","distances","Ileum","Cecum",6,9,50,0.005,0.075,"ns",0.918694285714286,3,4
"11","distances","Ileum","Colon",6,9,41,0.113,1,"ns",0.946851428571429,3,5
"12","distances","Ileum","Ascaris",6,4,17,0.352,1,"ns",0.975008571428571,3,6
"13","distances","Cecum","Colon",9,9,16,0.032,0.48,"ns",1.00316571428571,4,5
"14","distances","Cecum","Ascaris",9,4,17,0.94,1,"ns",1.03132285714286,4,6
"15","distances","Colon","Ascaris",9,4,22,0.604,1,"ns",1.05948,5,6
