"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","distances","Pig1","Pig2",5,7,25,0.268,1,"ns",0.73248,1,2
"2","distances","Pig1","Pig3",5,10,23,0.859,1,"ns",0.81968,1,3
"3","distances","Pig1","Pig5",5,1,5,0.333,1,"ns",0.90688,1,4
"4","distances","Pig1","SH",5,15,33,0.735,1,"ns",0.99408,1,5
"5","distances","Pig2","Pig3",7,10,15,0.055,0.55,"ns",1.08128,2,3
"6","distances","Pig2","Pig5",7,1,7,0.25,1,"ns",1.16848,2,4
"7","distances","Pig2","SH",7,15,25,0.056,0.56,"ns",1.25568,2,5
"8","distances","Pig3","Pig5",10,1,10,0.182,1,"ns",1.34288,3,4
"9","distances","Pig3","SH",10,15,65,0.605,1,"ns",1.43008,3,5
"10","distances","Pig5","SH",1,15,0,0.125,1,"ns",1.51728,4,5
