"","InfectionStatus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Infected","Chao1","2","14",5,5,25,0.008,0.128,"ns",569.05196,1,2
"2","Infected","Chao1","2","21",5,5,5,0.151,1,"ns",638.76636,1,3
"3","Infected","Chao1","2","42",5,5,0,0.008,0.128,"ns",708.48076,1,4
"4","Infected","Chao1","2","49",5,3,10,0.571,1,"ns",778.19516,1,5
"5","Infected","Chao1","14","21",5,5,4,0.095,1,"ns",847.90956,2,3
"6","Infected","Chao1","14","42",5,5,0,0.008,0.128,"ns",917.62396,2,4
"7","Infected","Chao1","14","49",5,3,5,0.571,1,"ns",987.33836,2,5
"8","Infected","Chao1","21","42",5,5,13,1,1,"ns",1057.05276,3,4
"9","Infected","Chao1","21","49",5,3,12,0.25,1,"ns",1126.76716,3,5
"10","Infected","Chao1","42","49",5,3,15,0.036,0.576,"ns",1196.48156,4,5
"11","Non_infected","Chao1","2","14",4,4,14,0.114,1,"ns",674.70096,1,2
"12","Non_infected","Chao1","2","21",4,4,0,0.029,0.464,"ns",749.992512,1,3
"13","Non_infected","Chao1","2","42",4,4,4,0.343,1,"ns",825.284064,1,4
"14","Non_infected","Chao1","14","21",4,4,0,0.029,0.464,"ns",900.575616,2,3
"15","Non_infected","Chao1","14","42",4,4,0,0.029,0.464,"ns",975.867168,2,4
"16","Non_infected","Chao1","21","42",4,4,16,0.029,0.464,"ns",1051.15872,3,4
